,dates,values,spike/deep
101,17:25:29:986361,0.21323314805825552,0
102,17:25:30:035910,0.20139893889427185,0
103,17:25:30:101100,0.18760999043782553,0
104,17:25:30:159334,0.173442542552948,0
105,17:25:30:221830,0.12466361373662949,0
106,17:25:30:287657,0.11965239544709523,0
107,17:25:30:353732,0.09577714651823044,-1
108,17:25:30:413162,0.09395776192347209,-1
109,17:25:30:482047,0.09232880423466365,-1
110,17:25:30:557134,0.08945645143588384,-1
111,17:25:30:637873,0.0893927589058876,-1
112,17:25:30:690345,0.08718632409969966,-1
113,17:25:30:741733,0.0858997255563736,-1
114,17:25:30:801891,0.08634937057892482,-1
115,17:25:30:848057,0.08656906336545944,-1
116,17:25:30:895170,0.08542402585347493,-1
117,17:25:30:953848,0.08532487104336421,-1
118,17:25:31:009090,0.08834820489088695,-1
119,17:25:31:077965,0.09747805694739024,-1
120,17:25:31:139483,0.10695589830478032,-1
121,17:25:31:205880,0.11598074932893117,0
122,17:25:31:265193,0.14624227583408356,0
123,17:25:31:322765,0.1698902646700541,0
124,17:25:31:381032,0.18527180949846903,0
125,17:25:31:439920,0.20181255042552948,0
126,17:25:31:490916,0.24504952629407248,0
127,17:25:31:553886,0.26307213306427,0
128,17:25:31:612141,0.275792916615804,0
129,17:25:31:662189,0.2937992215156555,0
130,17:25:31:723127,0.3063049813111623,0
131,17:25:31:770879,0.3639860947926839,1
132,17:25:31:830525,0.3798289696375529,1
133,17:25:31:878444,0.3823131024837494,1
134,17:25:31:941194,0.3884338438510895,1
135,17:25:32:000634,0.3906467656294505,1
136,17:25:32:047773,0.3850450317064921,1
137,17:25:32:096741,0.37712345520655316,1
138,17:25:32:148835,0.3649296164512634,1
139,17:25:32:207570,0.3619583050409953,1
140,17:25:32:267645,0.29368223746617633,0
141,17:25:32:316130,0.2691700557867686,0
142,17:25:32:381066,0.24990620712439218,0
143,17:25:32:439509,0.24920849998792013,0
144,17:25:32:500510,0.23354562123616537,0
145,17:25:32:564014,0.16231631735960642,0
146,17:25:32:623737,0.14561878641446432,0
147,17:25:32:672337,0.1320410668849945,0
148,17:25:32:735200,0.12241988629102707,0
149,17:25:32:795498,0.09314571072657903,-1
150,17:25:32:843231,0.09303915500640869,-1
151,17:25:32:902361,0.08876298119624455,-1
152,17:25:32:950625,0.08297168960173924,-1
153,17:25:33:011293,0.07994286964337032,-1
154,17:25:33:058007,0.08155998835961024,-1
155,17:25:33:105684,0.08320479343334834,-1
156,17:25:33:150593,0.08214846501747768,-1
157,17:25:33:196089,0.08077281713485718,-1
158,17:25:33:246005,0.08125341435273488,-1
159,17:25:33:307994,0.08246012777090073,-1
160,17:25:33:375914,0.08463458468516667,-1
161,17:25:33:443210,0.08637126783529918,-1
162,17:25:33:504061,0.09114859749873479,-1
163,17:25:33:553810,0.12483101586500804,0
164,17:25:33:599225,0.13931079457203546,0
165,17:25:33:648889,0.152266725897789,0
166,17:25:33:695016,0.16370720167954764,0
167,17:25:33:758553,0.16609234611193338,0
168,17:25:33:818926,0.22393096486727396,0
169,17:25:33:865006,0.24327915410200754,0
170,17:25:33:911053,0.2576368103424708,0
171,17:25:33:963259,0.274123877286911,0
172,17:25:34:024516,0.2912287910779317,0
173,17:25:34:073937,0.3019152383009593,0
174,17:25:34:132854,0.3499016265074412,1
175,17:25:34:191391,0.36431705951690674,1
176,17:25:34:242971,0.37198855479558307,1
177,17:25:34:291375,0.3819665213425954,1
178,17:25:34:350825,0.3916194538275401,1
179,17:25:34:401336,0.39260436097780865,1
180,17:25:34:460652,0.3880096971988678,1
181,17:25:34:521592,0.37865490714708966,1
182,17:25:34:567966,0.36923787991205853,1
183,17:25:34:615569,0.3177819053332011,1
184,17:25:34:661652,0.29616303245226544,0
185,17:25:34:708846,0.28070029616355896,0
186,17:25:34:757550,0.26017020146052044,0
187,17:25:34:816606,0.24078667163848877,0
188,17:25:34:870486,0.18016481399536133,0
189,17:25:34:927246,0.16134088734785715,0
190,17:25:34:976026,0.1445467472076416,0
191,17:25:35:022209,0.13072139769792557,0
192,17:25:35:069411,0.12228810538848241,0
193,17:25:35:115377,0.11527636150519054,-1
194,17:25:35:160702,0.09389870117108028,-1
195,17:25:35:210431,0.09174137314160664,-1
196,17:25:35:258062,0.08704468111197154,-1
197,17:25:35:306120,0.08622888724009196,-1
198,17:25:35:353801,0.08661370724439621,-1
199,17:25:35:429346,0.08571716646353404,-1
200,17:25:35:490393,0.08329874773820241,-1
201,17:25:35:551022,0.08221932748953502,-1
