,dates,values,spike/deep
116,16:26:37:838816,0.35379335284233093,0
117,16:26:37:886944,0.34192803502082825,0
118,16:26:37:951097,0.3093728224436442,0
119,16:26:38:014091,0.29869353771209717,0
120,16:26:38:076022,0.2892054120699565,0
121,16:26:38:139660,0.2789800862471263,0
122,16:26:38:201550,0.253738800684611,-1
123,16:26:38:263676,0.24670514464378357,-1
124,16:26:38:322968,0.24743519723415375,-1
125,16:26:38:370774,0.24442788461844125,-1
126,16:26:38:428694,0.247440367937088,-1
127,16:26:38:496611,0.24798008799552917,-1
128,16:26:38:562849,0.24788487950960794,-1
129,16:26:38:619864,0.24627003073692322,-1
130,16:26:38:683260,0.24807514250278473,-1
131,16:26:38:744728,0.24957347412904105,-1
132,16:26:38:807153,0.2525750696659088,-1
133,16:26:38:867024,0.26213034987449646,0
134,16:26:38:929144,0.2723406453927358,0
135,16:26:38:976080,0.2844891846179962,0
136,16:26:39:037018,0.3092131018638611,0
137,16:26:39:087927,0.32572317123413086,0
138,16:26:39:145834,0.3785434663295746,0
139,16:26:39:209538,0.38552438219388324,0
140,16:26:39:271234,0.4348517855008443,0
141,16:26:39:329377,0.45086872577667236,0
142,16:26:39:386004,0.4784254233042399,0
143,16:26:39:440397,0.48770517110824585,0
144,16:26:39:502623,0.4956989785035451,0
145,16:26:39:551015,0.5024421811103821,1
146,16:26:39:600994,0.5131387412548065,1
147,16:26:39:662601,0.5130703945954641,1
148,16:26:39:723421,0.5073563754558563,1
149,16:26:39:786599,0.4832911789417267,0
150,16:26:39:844299,0.45252276460329693,0
151,16:26:39:892126,0.43115726113319397,0
152,16:26:39:939627,0.41309767961502075,0
153,16:26:39:997712,0.3655925989151001,0
154,16:26:40:050788,0.35114843646685284,0
155,16:26:40:097433,0.3404858112335205,0
156,16:26:40:144778,0.3184451758861542,0
157,16:26:40:223189,0.3031134009361267,0
158,16:26:40:284990,0.26670100291570026,0
159,16:26:40:345776,0.25658517082532245,-1
160,16:26:40:393083,0.2554052422444026,-1
161,16:26:40:446330,0.25224118928114575,-1
162,16:26:40:502022,0.23885421454906464,-1
163,16:26:40:551015,0.2348105510075887,-1
164,16:26:40:615899,0.23524932066599527,-1
165,16:26:40:680337,0.23459438979625702,-1
166,16:26:40:742779,0.23428652187188467,-1
167,16:26:40:800851,0.23306649923324585,-1
168,16:26:40:850754,0.23224843045075735,-1
169,16:26:40:915438,0.23485539356867471,-1
170,16:26:40:978302,0.23257469634215036,-1
171,16:26:41:037333,0.25027941167354584,-1
172,16:26:41:100666,0.2666638493537903,0
173,16:26:41:164130,0.2797642449537913,0
174,16:26:41:227165,0.32967667778333026,0
175,16:26:41:284045,0.35454581181208294,0
176,16:26:41:333095,0.36962775389353436,0
177,16:26:41:397988,0.36811797817548114,0
178,16:26:41:455215,0.43257176876068115,0
179,16:26:41:504646,0.44895175099372864,0
180,16:26:41:565674,0.4643917183081309,0
181,16:26:41:629552,0.47466738025347394,0
182,16:26:41:690813,0.5130723714828491,1
183,16:26:41:753559,0.5127777457237244,1
184,16:26:41:814844,0.5252856612205505,1
185,16:26:41:879444,0.5166024168332418,1
186,16:26:41:944823,0.5087164143721262,1
187,16:26:42:004534,0.49953970313072205,1
188,16:26:42:064559,0.4927803377310435,1
189,16:26:42:123871,0.43950286507606506,0
190,16:26:42:174741,0.4204181134700775,0
191,16:26:42:235059,0.3971259395281474,0
192,16:26:42:297959,0.37495776017506915,0
193,16:26:42:360221,0.32476283113161725,0
194,16:26:42:428430,0.30349650979042053,0
195,16:26:42:486273,0.29032930731773376,0
196,16:26:42:553265,0.2575249969959259,0
197,16:26:42:611414,0.24873459339141846,-1
198,16:26:42:677793,0.24508066475391388,-1
