dates,values,spike/deep
14:11:25:186599,0.6566007733345032,0
14:11:25:241015,0.6156841417153676,-1
14:11:25:289499,0.603753536939621,-1
14:11:25:352116,0.5949867467085521,-1
14:11:25:404801,0.5881772140661876,-1
14:11:25:461268,0.577971210082372,-1
14:11:25:523252,0.5661618014176686,-1
14:11:25:584626,0.5471225778261821,-1
14:11:25:631370,0.5407748222351074,-1
14:11:25:693311,0.5408223668734233,-1
14:11:25:743567,0.5321582059065502,-1
14:11:25:808311,0.5356163183848064,-1
14:11:25:866679,0.5438737869262695,-1
14:11:25:945184,0.5481847822666168,-1
14:11:25:991513,0.5519395172595978,-1
14:11:26:053098,0.5536122421423595,-1
14:11:26:118793,0.5582538346449535,-1
14:11:26:180084,0.5850098629792531,-1
14:11:26:238308,0.6041785776615143,-1
14:11:26:283323,0.6126946707566578,-1
14:11:26:333024,0.6190515855948131,-1
14:11:26:393646,0.6268126169840496,0
14:11:26:442220,0.6411213179429371,0
14:11:26:502836,0.6512975792090099,0
14:11:26:550174,0.6595540444056194,0
14:11:26:613701,0.6668460170427959,0
14:11:26:676223,0.6734069486459096,0
14:11:26:734254,0.7064635058244069,0
14:11:26:781663,0.712786262234052,0
14:11:26:832593,0.7187634060780208,0
14:11:26:890770,0.7209966778755188,0
14:11:26:938305,0.741406222184499,0
14:11:26:985702,0.7451741347710292,0
14:11:27:036170,0.7567164103190104,0
14:11:27:095468,0.7625270138184229,0
14:11:27:156251,0.7691201269626617,0
14:11:27:219023,0.7738785694042841,0
14:11:27:275998,0.7831661254167557,0
14:11:27:328888,0.7863354136546453,0
14:11:27:390108,0.7921003053585688,0
14:11:27:449179,0.7950116495291392,1
14:11:27:509675,0.8061332255601883,1
14:11:27:557610,0.8084347521265348,1
14:11:27:607098,0.8090367118517557,1
14:11:27:667187,0.8109398533900579,1
14:11:27:732850,0.8158570205171903,1
14:11:27:793200,0.8181489904721578,1
14:11:27:860194,0.8200946574409803,1
14:11:27:922489,0.8198506484429041,1
14:11:27:990576,0.8219669163227081,1
14:11:28:046627,0.822206603984038,1
14:11:28:115689,0.8220474347472191,1
14:11:28:172099,0.8217532560229301,1
14:11:28:234560,0.8209270387887955,1
14:11:28:296980,0.8203800419966379,1
14:11:28:360880,0.8176203469435374,1
14:11:28:428821,0.8040890594323477,1
14:11:28:487647,0.7972284307082494,0
14:11:28:552474,0.7853493044773737,0
14:11:28:617262,0.7797583192586899,0
14:11:28:673122,0.7691856424013773,0
14:11:28:735718,0.7641521195570627,0
14:11:28:805283,0.7375977983077366,0
14:11:28:870012,0.7280188699563344,0
14:11:28:925858,0.7233275721470516,0
14:11:28:988263,0.7073152263959248,0
14:11:29:051084,0.6935266802708309,0
14:11:29:128897,0.690094992518425,0
14:11:29:209208,0.6823958108822505,0
14:11:29:282540,0.6575611929098766,0
14:11:29:355338,0.6502997875213623,0
14:11:29:406727,0.6257440050443013,-1
14:11:29:455595,0.6185690859953563,-1
14:11:29:518542,0.6129245956738789,-1
14:11:29:584224,0.605043778816859,-1
14:11:29:643662,0.5855285823345184,-1
14:11:29:708912,0.5785235663255055,-1
14:11:29:770782,0.5754135549068451,-1
14:11:29:832205,0.5675310989220936,-1
14:11:29:895627,0.5489546159903209,-1
14:11:29:959817,0.547365774710973,-1
14:11:30:022233,0.546623835961024,-1
14:11:30:099543,0.5435557166735332,-1
14:11:30:164370,0.5468764106432598,-1
14:11:30:222740,0.5497529308001201,-1
14:11:30:286104,0.553135593732198,-1
14:11:30:348938,0.5608874062697093,-1
14:11:30:412927,0.5664402544498444,-1
14:11:30:479259,0.5956482390562694,-1
14:11:30:533123,0.6096650560696919,-1
14:11:30:585523,0.6177961925665538,-1
14:11:30:645883,0.6304201781749725,0
14:11:30:712255,0.6732536256313324,0
14:11:30:776072,0.687360445658366,0
14:11:30:839453,0.697138821085294,0
14:11:30:898826,0.7325584640105565,0
14:11:30:962403,0.7405097236235936,0
14:11:31:026781,0.7477112114429474,0
14:11:31:083988,0.7567322303851446,0
14:11:31:144873,0.7769386867682139,0
14:11:31:193998,0.784407322605451,0
14:11:31:260127,0.7871261388063431,0
14:11:31:319546,0.7913206815719604,0
14:11:31:383310,0.7996910239259402,0
14:11:31:441207,0.8039512957135836,1
14:11:31:507081,0.8065834691127142,1
14:11:31:573907,0.8128406355778376,1
14:11:31:635295,0.8152193054556847,1
14:11:31:701562,0.8194988618294398,1
14:11:31:759615,0.8218320906162262,1
14:11:31:821905,0.8218973899881045,1
14:11:31:880780,0.8246972436706225,1
14:11:31:959755,0.8235481232404709,1
14:11:32:034194,0.8233118876814842,1
14:11:32:097153,0.8229027713338534,1
14:11:32:158394,0.8226373593012491,1
14:11:32:205880,0.822222833832105,1
14:11:32:265887,0.8227881615360578,1
14:11:32:310555,0.8224734514951706,1
14:11:32:362700,0.8220154320200285,1
14:11:32:424244,0.8216827611128489,1
14:11:32:489177,0.8213289255897204,1
14:11:32:557091,0.8205122575163841,1
14:11:32:610003,0.818135584394137,1
14:11:32:657225,0.8127617786327997,1
14:11:32:707716,0.8094286223252615,1
14:11:32:771014,0.8072336787978808,0
14:11:32:827703,0.8055241828163465,0
14:11:32:890005,0.8015835036834081,0
14:11:32:946402,0.7986404473582903,0
14:11:33:002837,0.7969625219702721,0
14:11:33:060818,0.7945776085058848,0
14:11:33:109047,0.792553556462129,0
14:11:33:159733,0.7877384101351103,0
14:11:33:221671,0.7836874673763911,0
14:11:33:279989,0.7804631690184275,0
14:11:33:327900,0.7771516293287277,0
14:11:33:387473,0.7691478828589121,0
14:11:33:436713,0.7635317444801331,0
14:11:33:509333,0.7587991307179133,0
14:11:33:562278,0.7560794999202093,0
14:11:33:623225,0.7471396774053574,0
14:11:33:669961,0.7415617356697719,0
14:11:33:719602,0.7353751411040623,0
14:11:33:786436,0.7317274212837219,0
14:11:33:844494,0.7292157957951229,0
14:11:33:903539,0.718609447280566,0
14:11:33:950031,0.7124263445536296,0
14:11:33:996068,0.7089966535568237,0
14:11:34:046075,0.706172193090121,0
14:11:34:108434,0.7035348961750667,0
14:11:34:156375,0.6911830604076385,0
14:11:34:219346,0.6885295261939366,0
14:11:34:280481,0.6840094774961472,0
14:11:34:338790,0.6783597469329834,0
14:11:34:397413,0.6688485840956371,0
14:11:34:447988,0.6641048590342205,0
14:11:34:511466,0.6589931448300679,0
14:11:34:569587,0.6539141833782196,0
14:11:34:615025,0.6422772109508514,0
14:11:34:680849,0.6388228436311085,0
14:11:34:737784,0.6366331179936726,0
14:11:34:787835,0.6331176062424977,0
14:11:34:832799,0.6280870934327443,0
14:11:34:883142,0.6179777681827545,-1
14:11:34:940391,0.6120849053064983,-1
14:11:34:991745,0.6104150513807933,-1
14:11:35:051875,0.6058469812075298,-1
14:11:35:104588,0.6027973095575969,-1
14:11:35:160003,0.5907517472902934,-1
14:11:35:209298,0.5858890215555828,-1
14:11:35:268890,0.5835310916105907,-1
14:11:35:322431,0.5804871718088787,-1
14:11:35:381228,0.5788698891798656,-1
14:11:35:443457,0.5694431662559509,-1
14:11:35:504637,0.565567930539449,-1
14:11:35:566657,0.5613706409931183,-1
14:11:35:638151,0.5540491938591003,-1
14:11:35:694518,0.5525389015674591,-1
14:11:35:752943,0.5547459721565247,-1
14:11:35:802895,0.5546974937121074,-1
14:11:35:868626,0.5552082359790802,-1
14:11:35:926514,0.5574712653954823,-1
14:11:35:975793,0.5607564051946003,-1
14:11:36:037426,0.5613843003908794,-1
14:11:36:096464,0.5766178170839946,-1
