dates,values,spike/deep
11:32:30:889838,0.26139698177576065,-1.0
11:32:30:939844,0.2609070912003517,-1.0
11:32:31:001760,0.2597617084781329,-1.0
11:32:31:063837,0.25996411095062893,-1.0
11:32:31:125047,0.2599609966079394,-1.0
11:32:31:173793,0.26008490473032,-1.0
11:32:31:234885,0.25965889543294907,-1.0
11:32:31:291396,0.25967201590538025,-1.0
11:32:31:357979,0.25973929464817047,-1.0
11:32:31:405839,0.2601756850878398,-1.0
11:32:31:460122,0.2607506240407626,-1.0
11:32:31:530319,0.26942316194375354,-1.0
11:32:32:640009,0.47635795672734577,0.0
11:32:32:706439,0.48133941491444904,0.0
11:32:32:774104,0.48468982179959613,0.0
11:32:32:820572,0.5053338607152303,0.0
11:32:32:874531,0.5104134182135264,0.0
11:32:32:944506,0.5109821061293284,0.0
11:32:33:006326,0.511569211880366,0.0
11:32:33:056414,0.520261824131012,0.0
11:32:33:128046,0.5242700974146525,0.0
11:32:33:190742,0.525848001241684,0.0
11:32:33:243415,0.5304959813753763,0.0
11:32:33:322023,0.531262089808782,1.0
11:32:33:398838,0.5306546092033386,1.0
11:32:33:464614,0.528467039267222,1.0
11:32:33:530149,0.5267348090807596,1.0
11:32:33:595141,0.525296817223231,1.0
11:32:33:655881,0.5010304351647695,1.0
11:32:33:714829,0.4854636987050374,0.0
11:32:33:790835,0.47367462515830994,0.0
11:32:35:164794,0.2768642654021581,-1.0
11:32:35:223725,0.2728397771716118,-1.0
11:32:35:291236,0.2720811093846957,-1.0
11:32:35:364589,0.2685428981979688,-1.0
11:32:35:434905,0.2678324729204178,-1.0
11:32:35:499460,0.26689547797044116,-1.0
11:32:35:557309,0.2665030484398206,-1.0
11:32:35:644804,0.26641829063495,-1.0
11:32:35:710401,0.2669607798258464,-1.0
11:32:35:769542,0.2672151600321134,-1.0
11:32:35:830419,0.2674148827791214,-1.0
11:32:35:890382,0.26731452345848083,-1.0
11:32:35:940540,0.2672232041756312,-1.0
11:32:36:006397,0.27203352749347687,-1.0
11:32:37:403239,0.47021451592445374,0.0
11:32:37:465565,0.4749397238095601,0.0
11:32:37:522788,0.4796314239501953,0.0
11:32:37:576047,0.49295586347579956,0.0
11:32:37:647599,0.49796361724535626,0.0
11:32:37:708099,0.5012305974960327,1.0
11:32:37:766026,0.5059047639369965,1.0
11:32:37:829429,0.5151329537232717,1.0
11:32:37:900609,0.5196535587310791,1.0
11:32:37:956470,0.5202371776103973,1.0
11:32:38:017849,0.5259594122568766,1.0
11:32:38:083714,0.5276370545228323,1.0
11:32:38:143088,0.527570645014445,1.0
11:32:38:214454,0.5139331519603729,1.0
11:32:38:280309,0.4966326455275218,1.0
11:32:38:342687,0.4835227131843567,0.0
11:32:39:495141,0.27707135677337646,-1.0
11:32:39:559996,0.27411293238401413,-1.0
11:32:39:628318,0.27424924572308856,-1.0
11:32:39:694668,0.27148017038901645,-1.0
11:32:39:762489,0.27173219124476117,-1.0
