dates,values,spike/deep
18:31:21:328242,0.6973900695641835,0
18:31:21:377000,0.7110791554053624,1
18:31:21:424899,0.7172785525520642,1
18:31:21:485381,0.7397210001945496,1
18:31:21:531991,0.7401024873058002,1
18:31:21:576688,0.7387694492936134,1
18:31:21:627803,0.7335144778092701,1
18:31:21:684753,0.7321031639973323,1
18:31:21:731473,0.725746216873328,1
18:31:21:779750,0.7241231898466747,1
18:31:21:845845,0.7218314185738564,1
18:31:21:907926,0.7194945837060611,1
18:31:21:967276,0.7183894018332164,1
18:31:22:030548,0.6983376840750377,1
18:31:22:091449,0.6850155691305797,1
18:31:22:151632,0.6737107733885448,1
18:31:22:199016,0.6636681109666824,1
18:31:22:261829,0.6237350702285767,0
18:31:22:324964,0.6118495116631191,0
18:31:22:385419,0.5996749401092529,0
18:31:22:430944,0.5883081654707591,0
18:31:22:480280,0.5543353756268818,0
18:31:22:541687,0.5389021734396617,0
18:31:22:602653,0.5255771378676097,0
18:31:22:650462,0.5141511758168538,0
18:31:22:716571,0.4839571019013723,0
18:31:22:779836,0.4790807167689005,0
18:31:22:838163,0.4731862942377726,0
18:31:22:897304,0.46550853053728736,0
18:31:22:951758,0.44649175802866614,0
18:31:23:006770,0.44094585378964746,0
18:31:23:057642,0.4449365735054016,0
18:31:23:118810,0.45368942618370056,0
18:31:23:163939,0.4589564402898153,0
18:31:23:218001,0.48135237892468774,0
18:31:23:278990,0.5011370678742726,0
18:31:23:337401,0.5191395084063213,0
18:31:23:400239,0.5752054552237194,0
18:31:23:475540,0.6088421046733856,0
18:31:23:537499,0.6260995070139568,0
18:31:23:604900,0.6395543863375981,0
18:31:23:652470,0.6681954512993495,0
18:31:23:699939,0.6842571993668873,1
18:31:23:744828,0.6876083314418793,1
18:31:23:799756,0.6936451494693756,1
18:31:23:856823,0.7027122303843498,1
18:31:23:903557,0.7063510343432426,1
18:31:23:952590,0.7139242465297382,1
18:31:24:012940,0.714066671828429,1
18:31:24:075766,0.7132099668184917,1
18:31:24:137218,0.7132637451092403,1
18:31:24:199955,0.7138996968666713,1
18:31:24:263278,0.7127162516117096,1
18:31:24:339546,0.709317222237587,1
18:31:24:405741,0.7040387416879337,1
18:31:24:469984,0.6952312588691711,1
18:31:24:522493,0.6840781221787136,1
18:31:24:575166,0.6509025394916534,1
18:31:24:642990,0.6403911511103313,1
18:31:24:712324,0.6246968855460484,1
18:31:24:783648,0.605902334054311,0
18:31:24:829525,0.584525962670644,0
18:31:24:904700,0.5687830448150635,0
18:31:24:986843,0.5546784996986389,0
18:31:25:036000,0.5213820040225983,0
18:31:25:097295,0.49738098184267676,0
18:31:25:153976,0.4833041926225027,0
18:31:25:223956,0.4716041684150696,0
18:31:25:286368,0.4488090773423513,0
18:31:25:348815,0.44357855121294654,-1
18:31:25:408906,0.4398380319277445,-1
18:31:25:472122,0.44803164402643836,-1
18:31:25:531360,0.454396923383077,0
18:31:25:576530,0.4611440499623617,0
18:31:25:626630,0.465066542228063,0
18:31:25:695001,0.4999244610468546,0
18:31:25:749880,0.5194797317186992,0
18:31:25:812222,0.5332226355870564,0
18:31:25:887684,0.5455660820007324,0
18:31:25:939514,0.6137953499952953,0
18:31:26:000948,0.6292449186245601,0
18:31:26:061728,0.6476499388615291,0
18:31:26:121568,0.6758668373028438,0
18:31:26:168995,0.6895861526330311,0
18:31:26:233821,0.6967016905546188,1
18:31:26:292252,0.6964981506268184,1
18:31:26:359599,0.706968292593956,1
18:31:26:419438,0.7137242207924526,1
18:31:26:482841,0.7125303447246552,1
18:31:26:542658,0.7128756617506344,1
18:31:26:604017,0.7113601391514142,1
18:31:26:655492,0.7108354593316715,1
18:31:26:716779,0.7086484904090564,1
18:31:26:778495,0.7061263198653858,1
18:31:26:852094,0.7041448826591175,1
18:31:26:909554,0.7017836819092433,1
18:31:26:971907,0.6864057183265686,1
18:31:27:030749,0.6764071434736252,1
18:31:27:098427,0.6636350303888321,1
18:31:27:157280,0.6526871174573898,1
18:31:27:220708,0.6444620341062546,0
18:31:27:280061,0.6177453895409901,0
18:31:27:334606,0.6016864776611328,0
18:31:27:399056,0.5897203038136165,0
18:31:27:457241,0.5812438080708187,0
18:31:27:519591,0.5528736511866252,0
18:31:27:581011,0.5364446838696797,0
18:31:27:642883,0.5224774181842804,0
18:31:27:707592,0.4970908661683401,0
18:31:27:765967,0.48280676205952966,0
18:31:27:814836,0.46928875645001733,0
18:31:27:877196,0.4668358961741129,0
18:31:27:942024,0.4443222383658091,-1
18:31:28:006516,0.4422166546185812,-1
18:31:28:075953,0.44564266999562585,-1
18:31:28:139631,0.455742746591568,-1
18:31:28:192446,0.46333545446395874,0
18:31:28:258296,0.46779350439707434,0
18:31:28:323730,0.4785846769809723,0
18:31:28:387143,0.5229458312193553,0
18:31:28:452569,0.5417463878790538,0
18:31:28:511853,0.5584765871365864,0
18:31:28:577002,0.6159868339697521,0
18:31:28:633695,0.6340514570474625,0
18:31:28:699184,0.6483729680379231,0
18:31:28:759033,0.6575009872515996,0
18:31:28:822640,0.6871822724739711,0
18:31:28:883992,0.6950194338957469,1
18:31:28:948848,0.7014762610197067,1
18:31:29:009028,0.710357703268528,1
18:31:29:084466,0.7194776833057404,1
18:31:29:135339,0.7192969098687172,1
18:31:29:194071,0.7134434084097545,1
18:31:29:246903,0.7132262215018272,1
18:31:29:309277,0.7107372333606083,1
18:31:29:368855,0.7090097740292549,1
18:31:29:431409,0.7064514557520549,1
18:31:29:493775,0.7052077154318492,1
18:31:29:554565,0.7029319256544113,1
18:31:29:612983,0.6976222048203151,1
18:31:29:666239,0.6688604454199474,1
18:31:29:724618,0.6538572659095128,0
18:31:29:786524,0.6488990883032482,0
18:31:29:847372,0.6201479335625966,0
18:31:29:898974,0.6063705881436665,0
18:31:29:955167,0.5937648763259251,0
18:31:30:005244,0.5873506516218185,0
18:31:30:068448,0.5768289417028427,0
18:31:30:124688,0.5433754523595173,0
18:31:30:172866,0.5315922399361928,0
18:31:30:232857,0.5179805755615234,0
18:31:30:282988,0.5097659428914387,0
18:31:30:330595,0.5056689778963726,0
18:31:30:388300,0.4837019244829813,0
18:31:30:442236,0.47546429435412085,-1
18:31:30:497149,0.4641111493110657,-1
18:31:30:548756,0.45693355798721313,-1
18:31:30:607400,0.45530026157697046,-1
18:31:30:657417,0.4450933734575907,-1
18:31:30:729733,0.4436636368433634,-1
18:31:30:782690,0.4466741979122162,-1
18:31:30:885225,0.45004485050837195,-1
18:31:30:940047,0.45881416400273645,-1
18:31:31:036465,0.4753554165363312,-1
18:31:31:126269,0.5241049627463024,0
18:31:31:183164,0.5782909293969472,0
18:31:31:227201,0.5971773713827133,0
18:31:31:274173,0.6171898444493611,0
18:31:31:321355,0.6306205491224925,0
18:31:31:373837,0.6445877850055695,0
18:31:31:428439,0.6554043292999268,0
18:31:31:479215,0.6911453952391942,0
18:31:31:529655,0.6958446403344472,1
18:31:31:586798,0.7038973023494084,1
18:31:31:650920,0.7154894669850667,1
18:31:31:708102,0.7224612434705098,1
18:31:31:757338,0.7141861195365589,1
18:31:31:818415,0.7122420618931453,1
18:31:31:871646,0.7074792856971424,1
18:31:31:930736,0.7056237931052844,1
18:31:31:989162,0.7053954129417737,1
18:31:32:039045,0.7058151016632717,1
18:31:32:097715,0.7056909650564194,1
18:31:32:143863,0.7054741953810055,1
18:31:32:192195,0.704340860247612,1
18:31:32:239424,0.7035427168011665,1
18:31:32:288240,0.6924567818641663,1
18:31:32:346046,0.6834381868441899,1
18:31:32:398105,0.6778436899185181,1
18:31:32:455908,0.6696497748295467,1
18:31:32:506062,0.6650220602750778,1
18:31:32:560964,0.6495668540398281,1
18:31:32:615527,0.6423577964305878,0
18:31:32:662178,0.6372767339150112,0
18:31:32:722351,0.6292815158764522,0
18:31:32:773783,0.6226426362991333,0
18:31:32:833782,0.5977609852949779,0
18:31:32:891967,0.5853452285130818,0
18:31:32:941895,0.5794907162586849,0
18:31:33:005275,0.5695270597934723,0
18:31:33:064396,0.5446218252182007,0
18:31:33:116415,0.5337601502736409,0
18:31:33:181183,0.5254279772440593,0
18:31:33:253991,0.5244213342666626,0
18:31:33:315586,0.5077143311500549,0
18:31:33:366586,0.0,0
18:31:33:417586,0.0,0
18:31:33:468586,0.0,0
18:31:33:519586,0.0,0
18:31:33:570586,0.0,0
18:31:33:621586,0.0,0
18:31:33:672586,0.0,0
18:31:33:723586,0.0,0
18:31:33:774586,0.0,0
18:31:33:825586,0.0,0
18:31:33:876586,0.0,0
18:31:33:927586,0.0,0
18:31:33:978586,0.0,0
18:31:34:029586,0.0,0
18:31:34:080586,0.0,0
18:31:34:131586,0.0,0
18:31:34:182586,0.0,0
18:31:34:233586,0.0,0
18:31:34:284586,0.0,0
18:31:34:335586,0.0,0
18:31:34:386586,0.0,0
18:31:34:437586,0.0,0
18:31:34:488586,0.0,0
18:31:34:539586,0.0,0
18:31:34:590586,0.0,0
18:31:34:641586,0.0,0
18:31:34:692586,0.0,0
18:31:34:743586,0.0,0
18:31:34:794586,0.0,0
18:31:34:845586,0.0,0
18:31:34:896586,0.0,0
18:31:34:947586,0.0,0
18:31:34:998586,0.0,0
18:31:35:049586,0.0,0
18:31:35:100586,0.0,0
18:31:35:151586,0.0,0
18:31:35:202586,0.0,0
18:31:35:253586,0.0,0
18:31:35:304586,0.0,0
18:31:35:355586,0.0,0
18:31:35:406586,0.0,0
18:31:35:457586,0.0,0
18:31:35:508586,0.0,0
18:31:35:559586,0.0,0
18:31:35:610586,0.0,0
18:31:35:661586,0.0,0
18:31:35:712586,0.0,0
18:31:35:763586,0.0,0
18:31:35:814586,0.0,0
18:31:35:865586,0.0,0
18:31:35:916586,0.0,0
18:31:35:967586,0.0,0
18:31:36:018586,0.0,0
18:31:36:069586,0.0,0
18:31:36:120586,0.0,0
18:31:36:171586,0.0,0
18:31:36:222586,0.0,0
18:31:36:273586,0.0,0
18:31:36:324586,0.0,0
18:31:36:375586,0.0,0
18:31:36:426586,0.0,0
18:31:36:477586,0.0,0
18:31:36:528586,0.0,0
18:31:36:579586,0.0,0
18:31:36:630586,0.0,0
18:31:36:681586,0.0,0
18:31:36:732586,0.0,0
18:31:36:783586,0.0,0
18:31:36:834586,0.0,0
18:31:36:885586,0.0,0
18:31:36:936586,0.0,0
18:31:36:987586,0.0,0
18:31:37:038586,0.0,0
18:31:37:089586,0.0,0
18:31:37:140586,0.0,0
18:31:37:191586,0.0,0
18:31:37:242586,0.0,0
18:31:37:293586,0.0,0
18:31:37:344586,0.0,0
18:31:37:395586,0.0,0
18:31:37:446586,0.0,0
18:31:37:497586,0.0,0
18:31:37:548586,0.0,0
18:31:37:599586,0.0,0
18:31:37:650586,0.0,0
18:31:37:701586,0.0,0
18:31:37:752586,0.0,0
18:31:37:803586,0.0,0
18:31:37:854586,0.0,0
18:31:37:905586,0.0,0
18:31:37:956586,0.0,0
18:31:38:007586,0.0,0
18:31:38:058586,0.0,0
18:31:38:109586,0.0,0
18:31:38:160586,0.0,0
18:31:38:211586,0.0,0
18:31:38:262586,0.0,0
18:31:38:313586,0.0,0
18:31:38:364586,0.0,0
18:31:38:415586,0.0,0
